Year;Ref Short;Area Name;Inactivation Method;AP;ML;DV;DV origin;Mean AP;Mean ML;Mean DV;Corrected DV;Brain Surface DV Corr;Complexity index;Sensory Modality;Task type;in MOs;in ACA;inPL;in ILA;in ORBm;in ORBvl;in ORBl;Allen Atlas Annotation (2017)
2018;Pascoli et al., Nature, 2018;OFC;Photoactivation;2,6;1,6;1,8;DV brain surface;2,6;1,6;1,8;2,905;1,105;5;6;2;false;false;false;false;false;false;true;ORBl
2015;Pinto and Dan, Neuron, 2015;dmPFC;Muscimol;2,1;0,3;1,6;DV brain surface;2,1;0,3;1,6;2,535;0,935;5;1;1;false;false;true;false;false;false;false;PL
2019;Pinto et al., Cell, 2019;aM2;Photoinhibition;2,5;0,25;0,5;DV brain surface;2,5;0,25;0,5;1,705;1,205;6;2;1;false;true;false;false;false;false;false;ACA
2019;Pinto et al., Cell, 2019;aM2;Photoinhibition;2,5;0,25;0,5;DV brain surface;2,5;0,25;0,5;1,705;1,205;7;2;1;false;true;false;false;false;false;false;ACA
2016;Popescu et al., PNAS, 2016;mPFC;Photoactivation (DA);1,97;0,4;1,6-1,7;DV brain surface;1,97;0,4;1,65;2,435;0,785;2;1;1;false;false;true;false;false;false;false;PL
2015;Rajasethupathy et al., 2015;AC;Photoactivation and inhibition (eNpHR3, ChR2);1;0,3;1,2;DV brain surface;1;0,3;1,2;1,675;0,475;6;6;3;false;true;false;false;false;false;false;ACA
2018;Rikhye et al., Nat Neurosci, 2018;PFC;Photoinhibition;2,1-2,7;0,25-0,6;1,2-1,7 (ant) and 2-2,4 (post);DV brain surface;2,4;0,43;1,83;2,805;0,975;10;6;2;false;false;false;false;true;false;false;ORBm
2018;Rozeske et al., Neuron, 2018;dmPFC;Photoinhibition;1,98;0,35;1,5;DV brain surface;1,98;0,35;1,5;2,325;0,825;7;6;2;false;false;true;false;false;false;false;PL
2017;Schmitt et al., Nature, 2017;PFC;Photoinhibition, SSFO;2;0,6;1,2-1,7 (ant) and 2-2,4 (post);DV brain surface;2;0,6;1,83;2,525;0,695;10;6;2;false;false;true;false;false;false;false;PL
2014;Schneider et al., Nature, 2014;M2;Photoactivation;1;0,5;0,5;DV brain surface;1;0,5;0,5;0,865;0,365;2;6;1;true;false;false;false;false;false;false;MOs
2020;Sheggia et al., 2020;mPFC;Photoactivation and inhibition (eNpHR3, ChR2);1,9;0,3;2,4;DV Bregma;1,9;0,3;2,4;2,4;0;5;6;1;false;false;true;false;false;false;false;PL
2016;Siniscalchi et al, Nat Neurosci, 2016;M2;Muscimol;1,5;0,5;0.5;DV brain surface;1,5;0,5;0,5;1,035;0,535;7;1;2;true;false;false;false;false;false;false;MOs
2019;Spellman et al., BioRxiv, 2019;PFC;Muscimol / Photoinhibition (stGtACR2);1,75;0,35;1,75;DV brain surface;1,75;0,35;1,75;2,475;0,725;7;6;2;false;false;true;false;false;false;false;PL
2015;Spellman et al., Nature, 2015;mPFC;Photoinhibition;1,8;0,4;1,4;DV brain surface;1,8;0,4;1,4;2,105;0,705;4;1;3;false;false;true;false;false;false;false;PL
2018;Starkweather et al., Neuron, 2018;mPFC;DREADD (KORD);2,7;0,25;0,6;DV brain surface;2,7;0,25;0,6;1,925;1,325;3;6;1;false;false;true;false;false;false;false;PL
2017;Tamura et al., Nat Commun, 2017;mPFC;Photoinhibition;1,6;0,3;1,4;DV brain surface;1,6;0,3;1,4;2,105;0,705;4;4;3;false;false;true;false;false;false;false;PL
2019;Tan et al., 2019;PFC;Photoactivation (ChR2);2,25;0,45;1,2;DV brain surface;2,25;0,45;1,2;2,075;0,875;6;6;1;false;false;true;false;false;false;false;PL
2018;Tuscher et al., 2018;mPFC;DREADD (hM4Di);1,8;0,3;2,7;DV Bregma;1,8;0,3;2,7;2,7;0;5;6;1;false;false;true;false;false;false;false;ILA
2013;Van den Oever et al., 2013;vmPFC;Photoactivation and inhibition (eNpHR3, ChR2);2,2;0,4;3;DV Bregma;2,2;0,4;3;3;0;5;6;3;false;false;false;false;true;false;false;ORBm
2020;Vertechi et al., 2020;OFC;Photoinactivation (ChR2, Vgat);2,9;1,25;1,8;DV brain surface;2,9;1,25;1,8;2,965;1,165;3;6;1;false;false;false;false;false;false;true;ORBl
2018;White et al., Cell Rep, 2018;ACC;Photoinhibition;0,74-1,34;0,3;1-1,25;DV bregma;1,04;0,3;1,13;1,13;0;10;6;3;true;false;false;false;false;false;false;MOs
2015;Wimmer et al., Nature, 2015;mPFC;Photoinhibition;2,6;0,25;1,25;DV brain surface;2,6;0,25;1,25;2,505;1,255;10;1;2;false;false;true;false;true;false;false;PL
2020;Wu et al., 2020;ALM;Photoinhibition;2,5;1,5;1,1;DV Bregma;2,5;1,5;1,1;1,1;0;8;4;3;true;false;false;false;false;false;false;MOs
2019;Xu et al., BioRxiv 2019;ALM;Photoinhibition;2,2;1,5;1,3;DV brain surface;2,2;1,5;1,3;2,185;0,885;3;3;1;true;false;false;false;false;false;false;MOs
2020;Yamamuro et al., 2020;mPFC;Photoactivation and inhibition (eNpHR3, ChR2), DREADD )hMD4);1,3-2,3;0,4;1-1,7;DV brain surface;1,8;0,4;1,35;2,055;0,705;6;6;1;false;false;true;false;false;false;false;PL
2016;Ye et al., Cell, 2016;mPFC;Photoactivation;1,9;0,35;2,6;DV bregma;1,9;0,35;2,6;2,6;0;2;6;1;false;false;true;false;false;false;false;PL
2011;Yizhar et al., Nature, 2011;mPFC;SSFO;1,8;0,35;2,0-2,85;DV bregma;1,8;0,35;2,43;2,43;0;5;6;1;false;false;true;false;false;false;false;PL
2015;Zhang et al., 2015;PrL;Photoactivation and inhibition (Arch, ChR2);1,8;0,5;2,2;DV Bregma;1,8;0,5;2,2;2,2;0;4;6;1;false;false;true;false;false;false;false;PL
2014;Zhang et al., Science, 2014;Cg;Photoactivation;0,2;0,3;0,9;DV brain surface;0,2;0,3;0,9;1,105;0,205;5;1;1;false;true;false;false;false;false;false;ACA
2020;Zhu et al., 2020;PrL;Photoinhibition;1,98;0,4;1,65;DV brain surface;1,98;0,4;1,65;2,435;0,785;6;4;3;false;false;true;false;false;false;false;PL
2017;Zimmermann et al., Biol. Psychiatry, 2017;OFC;DREADD (BDNF KO);2,5;1,7;1,8;DV bregma;2,5;1,7;1,8;1,8;0;4;6;2;true;false;false;false;false;false;false;MOs
